designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472835983521061248,4472835983521061248,269.45241699657356,4.774737238961952,0.21831353713825602,-1.843261125333866,-6.19270200466366,1.0308086,14.975017,1.384264,-10.836165,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5028.704,3.3987,-0.112,2315.1414,0.8446,0.6604,0.3523
Gaia DR3 4472836013581937408,4472836013581937408,269.4552817673979,4.77831767446306,1.235806358862541,-0.18822723374560527,17.922055894054896,0.9893369,16.870695,1.6417618,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4431.5864,4.6631,0.1362,751.9253,0.5652,0.4181,0.2215
Gaia DR3 4472836013581937536,4472836013581937536,269.4551326101764,4.776803252447974,0.21089899721478944,-5.459858401380787,-3.8748356727296422,0.9650202,18.26254,1.0315781,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5011.1055,4.798,-1.7641,1875.6895,0.0128,0.0103,0.0056
Gaia DR3 4472836013581948928,4472836013581948928,269.4565288773416,4.7800453297209184,0.06417441726712282,-1.0551370568440153,-2.7563111867181673,0.92128515,18.225727,0.9714947,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5145.8574,4.7887,-2.1867,1979.2089,0.0068,0.0055,0.003
Gaia DR3 4472836013581953152,4472836013581953152,269.46603656619027,4.781331582267388,0.4003105327280292,-5.786914784616686,-18.560294418798893,0.99504185,16.118431,0.9875784,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5665.4683,4.5639,-0.8707,1131.9874,0.4262,0.3532,0.1922
Gaia DR3 4472836013581956992,4472836013581956992,269.4565886067831,4.782361527124692,0.3315490275346352,-4.167341235464016,-7.415565053392201,1.0318238,19.588182,0.96307945,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013581964288,4472836013581964288,269.4631484228259,4.7837636896245455,0.9134482168715031,-1.1328486414071257,-1.219569021565845,1.021917,20.2214,1.3225918,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013581978752,4472836013581978752,269.4632430690461,4.78630287563046,1.4920595977080784,-0.06925975794781292,-5.0108838992948845,1.0878628,19.118408,2.2955246,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013589421056,4472836013589421056,269.45593641176475,4.780705997190929,0.45578561016118624,-2.771376294779249,0.4779509465964171,0.9617046,18.492441,1.163063,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4526.1436,4.8533,-1.3914,1429.5192,0.0097,0.0075,0.004
Gaia DR3 4472836013589431040,4472836013589431040,269.4572331452036,4.78256474720722,0.4079921165627002,-4.464986581121064,-6.553241706283688,0.9245561,19.696508,1.2330799,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013589447936,4472836013589447936,269.45982020999526,4.785702832481391,-0.00928961631297152,-4.507303404321747,-7.141309586737074,0.9875844,20.546768,1.1178188,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
